,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age_cat,Sal_Cat,Years_Exper
1532,32.0,Male,Master's Degree,Full Stack Engineer,7.0,135000.0,Thirties,High,6-10
1535,46.0,Male,PhD,Senior Project Engineer,16.0,190000.0,Forties,Very High,16-20
1536,41.0,Female,PhD,Senior Project Engineer,11.0,165000.0,Forties,Very High,11-15
1538,34.0,Male,Bachelor's Degree,Back end Developer,6.0,120000.0,Thirties,High,6-10
1561,40.0,Female,PhD,Senior Software Engineer,12.0,160000.0,Thirties,Very High,11-15
1562,24.0,Male,Bachelor's Degree,Front end Developer,1.0,55000.0,Twenties,Medium,0-5
1649,36.0,Male,Bachelor's Degree,Front end Developer,7.0,120000.0,Thirties,High,6-10
1650,29.0,Female,Master's Degree,Back end Developer,3.0,90000.0,Twenties,Medium,0-5
1651,41.0,Female,PhD,Software Engineer Manager,14.0,180000.0,Forties,Very High,11-15
1652,33.0,Male,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,Thirties,High,6-10
1653,42.0,Male,PhD,Senior Software Engineer,12.0,170000.0,Forties,Very High,11-15
1654,28.0,Male,Bachelor's Degree,Back end Developer,2.0,70000.0,Twenties,Medium,0-5
1655,55.0,Male,PhD,Software Engineer Manager,18.0,210000.0,Fifties,Top Tier,16-20
1656,26.0,Female,Master's Degree,Front end Developer,1.0,55000.0,Twenties,Medium,0-5
1658,44.0,Female,PhD,Software Engineer Manager,11.0,165000.0,Forties,Very High,11-15
1659,30.0,Male,Master's Degree,Full Stack Engineer,5.0,105000.0,Twenties,High,0-5
1660,39.0,Female,Master's Degree,Senior Software Engineer,11.0,160000.0,Thirties,Very High,11-15
1661,32.0,Male,Bachelor's Degree,Front end Developer,6.0,110000.0,Thirties,High,6-10
1662,50.0,Male,PhD,Software Engineer Manager,17.0,195000.0,Forties,Very High,16-20
1663,27.0,Male,Bachelor's Degree,Back end Developer,3.0,85000.0,Twenties,Medium,0-5
1664,46.0,Male,PhD,Senior Project Engineer,14.0,180000.0,Forties,Very High,11-15
1665,25.0,Female,Bachelor's Degree,Front end Developer,1.0,55000.0,Twenties,Medium,0-5
1667,35.0,Male,Bachelor's Degree,Back end Developer,8.0,140000.0,Thirties,High,6-10
1670,35.0,Male,Bachelor's Degree,Full Stack Engineer,8.0,145000.0,Thirties,High,6-10
1671,41.0,Male,PhD,Senior Project Engineer,13.0,185000.0,Forties,Very High,11-15
1673,33.0,Male,Bachelor's Degree,Front end Developer,6.0,110000.0,Thirties,High,6-10
1770,31.0,Male,Bachelor's Degree,Front end Developer,6.0,115000.0,Thirties,High,6-10
1771,42.0,Female,Master's Degree,Software Engineer Manager,13.0,170000.0,Forties,Very High,11-15
1772,27.0,Female,Bachelor's Degree,Back end Developer,3.0,80000.0,Twenties,Medium,0-5
1773,51.0,Male,PhD,Senior Project Engineer,19.0,200000.0,Fifties,Very High,16-20
1774,34.0,Female,Master's Degree,Full Stack Engineer,7.0,130000.0,Thirties,High,6-10
1775,38.0,Male,Bachelor's Degree,Software Engineer Manager,11.0,155000.0,Thirties,Very High,11-15
1776,29.0,Male,Bachelor's Degree,Front end Developer,5.0,105000.0,Twenties,High,0-5
1777,43.0,Female,PhD,Senior Project Engineer,14.0,190000.0,Forties,Very High,11-15
1778,36.0,Male,Master's Degree,Back end Developer,8.0,140000.0,Thirties,High,6-10
1779,48.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Forties,Very High,16-20
1780,35.0,Female,Bachelor's Degree,Full Stack Engineer,8.0,145000.0,Thirties,High,6-10
1781,30.0,Female,Master's Degree,Front end Developer,4.0,90000.0,Twenties,Medium,0-5
1782,50.0,Male,PhD,Senior Project Engineer,18.0,195000.0,Forties,Very High,16-20
1783,29.0,Male,Bachelor's Degree,Back end Developer,4.0,95000.0,Twenties,Medium,0-5
1784,41.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,Forties,Very High,11-15
1785,33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,Thirties,High,6-10
1786,45.0,Male,PhD,Senior Project Engineer,16.0,185000.0,Forties,Very High,16-20
1787,28.0,Female,Bachelor's Degree,Front end Developer,2.0,65000.0,Twenties,Medium,0-5
1788,39.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,Thirties,Very High,11-15
1789,30.0,Male,Bachelor's Degree,Back end Developer,5.0,100000.0,Twenties,Medium,0-5
1790,46.0,Male,PhD,Senior Project Engineer,15.0,180000.0,Forties,Very High,11-15
1792,42.0,Male,PhD,Software Engineer Manager,14.0,190000.0,Forties,Very High,11-15
1793,31.0,Male,Bachelor's Degree,Full Stack Engineer,6.0,115000.0,Thirties,High,6-10
1794,49.0,Female,PhD,Senior Project Engineer,17.0,195000.0,Forties,Very High,16-20
1795,36.0,Male,Master's Degree,Back end Developer,9.0,150000.0,Thirties,High,6-10
1797,45.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Forties,Very High,16-20
1890,25.0,Female,Bachelor's Degree,Front end Developer,1.0,550.0,Twenties,Low,0-5
1891,29.0,Male,Bachelor's Degree,Front end Developer,4.0,90000.0,Twenties,Medium,0-5
1892,40.0,Female,Master's Degree,Software Engineer Manager,12.0,160000.0,Thirties,Very High,11-15
1895,33.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,Thirties,High,6-10
1896,37.0,Male,Bachelor's Degree,Software Engineer Manager,10.0,150000.0,Thirties,High,6-10
1897,28.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,Twenties,Medium,0-5
1898,44.0,Female,PhD,Senior Project Engineer,14.0,190000.0,Forties,Very High,11-15
1899,35.0,Male,Master's Degree,Back end Developer,8.0,140000.0,Thirties,High,6-10
1900,47.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Forties,Very High,16-20
1901,34.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,Thirties,High,6-10
1902,31.0,Female,Master's Degree,Front end Developer,5.0,105000.0,Thirties,High,0-5
1905,42.0,Male,Master's Degree,Software Engineer Manager,13.0,170000.0,Forties,Very High,11-15
1908,29.0,Female,Bachelor's Degree,Front end Developer,4.0,90000.0,Twenties,Medium,0-5
1910,27.0,Male,Bachelor's Degree,Back end Developer,3.0,80000.0,Twenties,Medium,0-5
1911,49.0,Male,PhD,Senior Project Engineer,17.0,195000.0,Forties,Very High,16-20
1912,32.0,Female,Master's Degree,Full Stack Engineer,6.0,115000.0,Thirties,High,6-10
1913,36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,135000.0,Thirties,High,6-10
1914,27.0,Male,Bachelor's Degree,Front end Developer,2.0,65000.0,Twenties,Medium,0-5
1916,34.0,Male,Master's Degree,Back end Developer,8.0,140000.0,Thirties,High,6-10
1917,46.0,Male,PhD,Software Engineer Manager,16.0,185000.0,Forties,Very High,16-20
1918,33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,130000.0,Thirties,High,6-10
1919,30.0,Female,Master's Degree,Front end Developer,5.0,105000.0,Twenties,High,0-5
1920,50.0,Male,PhD,Senior Project Engineer,19.0,200000.0,Forties,Very High,16-20
2012,31.0,Female,Bachelor's Degree,Front end Developer,6.0,110000.0,Thirties,High,6-10
2013,37.0,Male,Master's Degree,Software Engineer Manager,10.0,150000.0,Thirties,High,6-10
2132,31.0,Male,Master's Degree,Software Engineer Manager,8.0,130000.0,Thirties,High,6-10
2134,43.0,Male,PhD,Senior Project Engineer,15.0,180000.0,Forties,Very High,11-15
2135,35.0,Female,Master's Degree,Full Stack Engineer,8.0,140000.0,Thirties,High,6-10
2136,42.0,Male,Bachelor's Degree,Software Engineer Manager,12.0,160000.0,Forties,Very High,11-15
2137,28.0,Female,Bachelor's Degree,Front end Developer,2.0,55000.0,Twenties,Medium,0-5
2138,44.0,Female,PhD,Senior Project Engineer,16.0,190000.0,Forties,Very High,16-20
2139,32.0,Male,Master's Degree,Back end Developer,7.0,120000.0,Thirties,High,6-10
2140,48.0,Male,PhD,Software Engineer Manager,18.0,200000.0,Forties,Very High,16-20
2141,30.0,Female,Bachelor's Degree,Full Stack Engineer,5.0,100000.0,Twenties,Medium,0-5
2142,34.0,Male,Master's Degree,Front end Developer,9.0,150000.0,Thirties,High,6-10
2143,37.0,Female,Bachelor's Degree,Software Engineer Manager,11.0,170000.0,Thirties,Very High,11-15
2145,49.0,Female,PhD,Senior Project Engineer,19.0,210000.0,Forties,Top Tier,16-20
2146,29.0,Male,Bachelor's Degree,Full Stack Engineer,4.0,90000.0,Twenties,Medium,0-5
2147,41.0,Male,Master's Degree,Software Engineer Manager,14.0,180000.0,Forties,Very High,11-15
2191,46.0,Female,PhD,Senior Project Engineer,16.0,185000.0,Forties,Very High,16-20
2193,30.0,Male,Master's Degree,Front end Developer,5.0,105000.0,Twenties,High,0-5
2194,50.0,Male,PhD,Software Engineer Manager,20.0,210000.0,Forties,Top Tier,16-20
2195,31.0,Male,Bachelor's Degree,Back end Developer,6.0,95000.0,Thirties,Medium,6-10
2196,39.0,Female,Master's Degree,Software Engineer Manager,11.0,170000.0,Thirties,Very High,11-15
2200,48.0,Male,PhD,Software Engineer Manager,19.0,200000.0,Forties,Very High,16-20
2251,28.0,Male,Bachelor's Degree,Software Engineer,4.0,75000.0,Twenties,Medium,0-5
2252,33.0,Female,Master's Degree,Data Analyst,7.0,95000.0,Thirties,Medium,6-10
2253,22.0,Male,Bachelor's Degree,Front End Developer,1.0,50000.0,Twenties,Low,0-5
2254,44.0,Male,PhD,Senior Data Scientist,15.0,180000.0,Forties,Very High,11-15
2255,29.0,Female,Bachelor's Degree,Software Developer,3.0,65000.0,Twenties,Medium,0-5
2256,31.0,Male,Master's Degree,Product Manager,6.0,120000.0,Thirties,High,6-10
2257,25.0,Female,Master's Degree,Software Engineer,2.0,60000.0,Twenties,Medium,0-5
2258,38.0,Male,Bachelor's Degree,Data Scientist,10.0,150000.0,Thirties,High,6-10
2259,27.0,Male,Bachelor's Degree,Software Engineer,3.0,70000.0,Twenties,Medium,0-5
2260,46.0,Female,PhD,Director of Data Science,20.0,220000.0,Forties,Top Tier,16-20
2261,33.0,Male,Master's Degree,Data Analyst,8.0,100000.0,Thirties,Medium,6-10
2262,24.0,Female,Bachelor's Degree,Software Developer,2.0,55000.0,Twenties,Medium,0-5
2263,36.0,Male,PhD,Senior Data Scientist,12.0,170000.0,Thirties,Very High,11-15
2264,30.0,Female,Bachelor's Degree,Software Engineer,5.0,90000.0,Twenties,Medium,0-5
2265,29.0,Male,Bachelor's Degree,Front End Developer,4.0,80000.0,Twenties,Medium,0-5
2266,42.0,Male,Master's Degree,Product Manager,14.0,180000.0,Forties,Very High,11-15
2267,26.0,Male,Bachelor's Degree,Software Developer,2.0,60000.0,Twenties,Medium,0-5
2268,35.0,Female,Master's Degree,Data Analyst,9.0,120000.0,Thirties,High,6-10
2269,27.0,Female,Bachelor's Degree,Software Engineer,3.0,70000.0,Twenties,Medium,0-5
2270,48.0,Male,PhD,Director of Data Science,18.0,210000.0,Forties,Top Tier,16-20
2271,34.0,Male,Master's Degree,Data Scientist,9.0,140000.0,Thirties,High,6-10
2272,23.0,Female,Bachelor's Degree,Software Engineer,1.0,50000.0,Twenties,Low,0-5
2273,32.0,Male,Master's Degree,Product Manager,7.0,110000.0,Thirties,High,6-10
2275,37.0,Male,Bachelor's Degree,Data Analyst,11.0,160000.0,Thirties,Very High,11-15
2277,41.0,Female,PhD,Director of Data Science,16.0,200000.0,Forties,Very High,16-20
2278,34.0,Male,Master's Degree,Data Analyst,8.0,100000.0,Thirties,Medium,6-10
2375,34.0,Female,Bachelor's Degree,Full Stack Engineer,8.0,122485.0,Thirties,High,6-10
2376,25.0,Male,PhD,Software Engineer Manager,12.0,169159.0,Twenties,Very High,11-15
2377,43.0,Male,Master's Degree,Senior Software Engineer,21.0,187081.0,Forties,Very High,21-25
2379,27.0,Female,Master's Degree,Front end Developer,5.0,78354.0,Twenties,Medium,0-5
2380,25.0,Male,Bachelor's Degree,Back end Developer,2.0,90249.0,Twenties,Medium,0-5
2381,29.0,Female,Master's Degree,Senior Software Engineer,6.0,132720.0,Twenties,High,6-10
2382,52.0,Male,PhD,Software Engineer Manager,23.0,161568.0,Fifties,Very High,21-25
2383,41.0,Male,Master's Degree,Front end Developer,13.0,127346.0,Forties,High,11-15
2384,49.0,Female,Bachelor's Degree,Back end Developer,19.0,120177.0,Forties,High,16-20
2385,25.0,Other,High School,Full Stack Engineer,2.0,69032.0,Twenties,Medium,0-5
2386,35.0,Male,Master's Degree,Senior Project Engineer,8.0,101332.0,Thirties,High,6-10
2388,35.0,Female,Bachelor's Degree,Senior Project Engineer,12.0,166375.0,Thirties,Very High,11-15
2389,43.0,Male,Master's Degree,Senior Software Engineer,21.0,185119.0,Forties,Very High,21-25
2390,37.0,Female,Bachelor's Degree,Full Stack Engineer,10.0,149217.0,Thirties,High,6-10
2391,50.0,Male,Master's Degree,Software Engineer Manager,21.0,166512.0,Forties,Very High,21-25
2392,52.0,Female,Master's Degree,Senior Software Engineer,28.0,186963.0,Fifties,Very High,21-25
2393,26.0,Male,Bachelor's Degree,Back end Developer,3.0,75072.0,Twenties,Medium,0-5
2394,34.0,Female,Master's Degree,Full Stack Engineer,10.0,163398.0,Thirties,Very High,6-10
2395,30.0,Male,High School,Senior Project Engineer,11.0,103947.0,Twenties,High,11-15
2397,50.0,Male,Bachelor's Degree,Back end Developer,23.0,175966.0,Forties,Very High,21-25
2398,58.0,Male,Master's Degree,Senior Software Engineer,27.0,190004.0,Fifties,Very High,21-25
2399,35.0,Female,Master's Degree,Full Stack Engineer,10.0,152039.0,Thirties,Very High,6-10
2400,28.0,Male,Master's Degree,Front end Developer,5.0,76742.0,Twenties,Medium,0-5
2402,46.0,Female,Bachelor's Degree,Senior Software Engineer,20.0,139398.0,Forties,High,16-20
2403,28.0,Male,High School,Back end Developer,7.0,95845.0,Twenties,Medium,6-10
2404,34.0,Male,Master's Degree,Full Stack Engineer,12.0,160976.0,Thirties,Very High,11-15
2405,33.0,Female,Master's Degree,Senior Project Engineer,9.0,126753.0,Thirties,High,6-10
2406,37.0,Other,Master's Degree,Full Stack Engineer,14.0,161393.0,Thirties,Very High,11-15
2407,33.0,Male,Master's Degree,Senior Software Engineer,8.0,139817.0,Thirties,High,6-10
2408,53.0,Male,PhD,Software Engineer Manager,25.0,181714.0,Fifties,Very High,21-25
2409,35.0,Female,Bachelor's Degree,Back end Developer,10.0,114776.0,Thirties,High,6-10
2410,30.0,Male,Master's Degree,Full Stack Engineer,6.0,105725.0,Twenties,High,6-10
2411,24.0,Female,High School,Senior Project Engineer,1.0,52731.0,Twenties,Medium,0-5
2412,36.0,Male,Master's Degree,Front end Developer,8.0,106492.0,Thirties,High,6-10
2413,27.0,Female,Bachelor's Degree,Full Stack Engineer,4.0,73895.0,Twenties,Medium,0-5
2414,23.0,Male,PhD,Software Engineer Manager,1.0,119836.0,Twenties,High,0-5
2415,28.0,Female,Master's Degree,Senior Software Engineer,5.0,99747.0,Twenties,Medium,0-5
2416,52.0,Male,Bachelor's Degree,Back end Developer,25.0,168287.0,Fifties,Very High,21-25
2417,28.0,Female,Master's Degree,Full Stack Engineer,7.0,115920.0,Twenties,High,6-10
2418,32.0,Male,Master's Degree,Senior Project Engineer,11.0,128078.0,Thirties,High,11-15
2419,24.0,Female,Bachelor's Degree,Front end Developer,1.0,51265.0,Twenties,Medium,0-5
2420,43.0,Male,High School,Senior Software Engineer,22.0,165919.0,Forties,Very High,21-25
2422,24.0,Male,Master's Degree,Back end Developer,0.0,55538.0,Twenties,Medium,0-5
2423,55.0,Male,Bachelor's Degree,Senior Project Engineer,28.0,193964.0,Fifties,Very High,21-25
2424,29.0,Female,Master's Degree,Full Stack Engineer,4.0,104702.0,Twenties,High,0-5
2425,44.0,Male,PhD,Software Engineer Manager,19.0,172955.0,Forties,Very High,16-20
2426,40.0,Female,Master's Degree,Senior Software Engineer,16.0,138032.0,Thirties,High,16-20
2427,27.0,Male,Bachelor's Degree,Back end Developer,4.0,82683.0,Twenties,Medium,0-5
2428,43.0,Male,Master's Degree,Full Stack Engineer,17.0,155414.0,Forties,Very High,16-20
2429,49.0,Female,High School,Senior Project Engineer,25.0,154207.0,Forties,Very High,21-25
2430,30.0,Male,Master's Degree,Front end Developer,8.0,107895.0,Twenties,High,6-10
2431,42.0,Female,Bachelor's Degree,Senior Software Engineer,18.0,148446.0,Forties,High,16-20
2432,26.0,Male,Master's Degree,Full Stack Engineer,4.0,102859.0,Twenties,High,0-5
2433,41.0,Female,PhD,Software Engineer Manager,13.0,138662.0,Forties,High,11-15
2434,46.0,Male,Bachelor's Degree,Senior Project Engineer,23.0,181699.0,Forties,Very High,21-25
2436,22.0,Female,High School,Back end Developer,0.0,51832.0,Twenties,Medium,0-5
2437,54.0,Male,PhD,Software Engineer Manager,28.0,188484.0,Fifties,Very High,21-25
2438,42.0,Female,Master's Degree,Senior Software Engineer,16.0,138286.0,Forties,High,16-20
2439,49.0,Male,Bachelor's Degree,Full Stack Engineer,22.0,181132.0,Forties,Very High,21-25
2440,27.0,Female,Master's Degree,Back end Developer,4.0,73938.0,Twenties,Medium,0-5
2441,36.0,Male,Bachelor's Degree,Senior Project Engineer,14.0,119224.0,Thirties,High,11-15
2442,31.0,Female,Master's Degree,Full Stack Engineer,6.0,101186.0,Thirties,High,6-10
2443,39.0,Male,Master's Degree,Software Engineer Manager,14.0,142360.0,Thirties,High,11-15
2444,41.0,Female,Bachelor's Degree,Senior Project Engineer,20.0,151315.0,Forties,Very High,16-20
2445,48.0,Male,PhD,Full Stack Engineer,23.0,181021.0,Forties,Very High,21-25
2446,39.0,Female,Master's Degree,Senior Software Engineer,15.0,134641.0,Thirties,High,11-15
2447,48.0,Male,Bachelor's Degree,Front end Developer,23.0,173851.0,Forties,Very High,21-25
2448,31.0,Other,High School,Back end Developer,8.0,104127.0,Thirties,High,6-10
2449,47.0,Male,Master's Degree,Senior Project Engineer,25.0,178859.0,Forties,Very High,21-25
2450,29.0,Female,PhD,Full Stack Engineer,5.0,98568.0,Twenties,Medium,0-5
2451,32.0,Male,Bachelor's Degree,Software Engineer Manager,9.0,104661.0,Thirties,High,6-10
2452,38.0,Female,Master's Degree,Senior Software Engineer,13.0,134858.0,Thirties,High,11-15
2453,34.0,Male,Bachelor's Degree,Back end Developer,10.0,94502.0,Thirties,Medium,6-10
2454,23.0,Other,High School,Front end Developer,2.0,62852.0,Twenties,Medium,0-5
2535,36.0,Male,Bachelor's Degree,Front end Developer,14.0,139095.0,Thirties,High,11-15
2536,30.0,Female,Master's Degree,Senior Project Engineer,5.0,106278.0,Twenties,High,0-5
2537,28.0,Male,Master's Degree,Full Stack Engineer,4.0,90452.0,Twenties,Medium,0-5
2538,46.0,Female,PhD,Software Engineer Manager,23.0,168304.0,Forties,Very High,21-25
2539,34.0,Male,Bachelor's Degree,Back end Developer,10.0,126593.0,Thirties,High,6-10
2540,44.0,Male,Master's Degree,Senior Software Engineer,19.0,152203.0,Forties,Very High,16-20
2542,35.0,Male,Master's Degree,Full Stack Engineer,9.0,130275.0,Thirties,High,6-10
2544,23.0,Female,High School,Back end Developer,2.0,62807.0,Twenties,Medium,0-5
2545,46.0,Male,Master's Degree,Senior Software Engineer,21.0,174305.0,Forties,Very High,21-25
2546,33.0,Female,Bachelor's Degree,Full Stack Engineer,9.0,133326.0,Thirties,High,6-10
2547,26.0,Male,Master's Degree,Front end Developer,4.0,75656.0,Twenties,Medium,0-5
2548,43.0,Female,PhD,Software Engineer Manager,19.0,155944.0,Forties,Very High,16-20
2549,36.0,Male,Master's Degree,Full Stack Engineer,11.0,137775.0,Thirties,High,11-15
2550,23.0,Female,Bachelor's Degree,Senior Project Engineer,0.0,51831.0,Twenties,Medium,0-5
2551,49.0,Male,Master's Degree,Software Engineer Manager,22.0,182237.0,Forties,Very High,21-25
2552,35.0,Female,Master's Degree,Full Stack Engineer,10.0,151901.0,Thirties,Very High,6-10
2553,31.0,Male,Bachelor's Degree,Back end Developer,8.0,100052.0,Thirties,High,6-10
2555,43.0,Male,Master's Degree,Full Stack Engineer,20.0,167207.0,Forties,Very High,16-20
2556,33.0,Female,Master's Degree,Senior Project Engineer,10.0,112439.0,Thirties,High,6-10
2558,28.0,Male,Bachelor's Degree,Full Stack Engineer,5.0,84407.0,Twenties,Medium,0-5
2559,36.0,Female,Master's Degree,Senior Software Engineer,13.0,139413.0,Thirties,High,11-15
2560,43.0,Male,Bachelor's Degree,Senior Project Engineer,20.0,143084.0,Forties,High,16-20
2561,50.0,Female,Master's Degree,Full Stack Engineer,25.0,192344.0,Forties,Very High,21-25
2562,24.0,Male,PhD,Software Engineer Manager,1.0,106132.0,Twenties,High,0-5
2563,52.0,Male,Master's Degree,Senior Software Engineer,26.0,184816.0,Fifties,Very High,21-25
2564,46.0,Female,Bachelor's Degree,Back end Developer,19.0,150248.0,Forties,Very High,16-20
2565,38.0,Male,Master's Degree,Full Stack Engineer,15.0,170995.0,Thirties,Very High,11-15
2566,29.0,Male,Bachelor's Degree,Senior Project Engineer,6.0,88035.0,Twenties,Medium,6-10
2567,33.0,Female,Master's Degree,Front end Developer,10.0,119419.0,Thirties,High,6-10
2568,47.0,Male,PhD,Software Engineer Manager,21.0,173582.0,Forties,Very High,21-25
2569,45.0,Female,Master's Degree,Senior Software Engineer,23.0,174436.0,Forties,Very High,21-25
2570,28.0,Male,Bachelor's Degree,Back end Developer,4.0,71699.0,Twenties,Medium,0-5
2571,42.0,Female,Master's Degree,Full Stack Engineer,14.0,163558.0,Forties,Very High,11-15
2572,46.0,Male,Bachelor's Degree,Senior Project Engineer,24.0,166828.0,Forties,Very High,21-25
2573,38.0,Female,PhD,Software Engineer Manager,15.0,144496.0,Thirties,High,11-15
2575,33.0,Female,Master's Degree,Full Stack Engineer,8.0,122581.0,Thirties,High,6-10
2576,27.0,Male,High School,Back end Developer,4.0,79767.0,Twenties,Medium,0-5
2577,50.0,Female,Bachelor's Degree,Senior Project Engineer,25.0,177177.0,Forties,Very High,21-25
2578,26.0,Male,Master's Degree,Full Stack Engineer,4.0,89843.0,Twenties,Medium,0-5
2579,31.0,Female,Master's Degree,Senior Software Engineer,6.0,113563.0,Thirties,High,6-10
2580,35.0,Male,Bachelor's Degree,Front end Developer,10.0,128712.0,Thirties,High,6-10
2581,44.0,Female,PhD,Software Engineer Manager,18.0,161621.0,Forties,Very High,16-20
2582,32.0,Male,Master's Degree,Senior Project Engineer,8.0,121454.0,Thirties,High,6-10
2583,54.0,Male,Bachelor's Degree,Full Stack Engineer,25.0,179987.0,Fifties,Very High,21-25
2584,26.0,Female,Master's Degree,Front end Developer,3.0,72649.0,Twenties,Medium,0-5
2585,23.0,Male,PhD,Software Engineer Manager,0.0,52612.0,Twenties,Medium,0-5
2586,48.0,Female,Master's Degree,Senior Software Engineer,24.0,184006.0,Forties,Very High,21-25
2587,38.0,Male,Bachelor's Degree,Back end Developer,12.0,131960.0,Thirties,High,11-15
2588,30.0,Female,Master's Degree,Full Stack Engineer,5.0,102465.0,Twenties,High,0-5
2589,40.0,Male,Master's Degree,Software Engineer Manager,16.0,149748.0,Thirties,High,16-20
2590,45.0,Female,Bachelor's Degree,Senior Project Engineer,22.0,171036.0,Forties,Very High,21-25
2591,36.0,Male,Master's Degree,Full Stack Engineer,13.0,146351.0,Thirties,High,11-15
2592,52.0,Male,PhD,Software Engineer Manager,26.0,185462.0,Fifties,Very High,21-25
2593,31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,107718.0,Thirties,High,6-10
2594,26.0,Male,Master's Degree,Full Stack Engineer,4.0,90944.0,Twenties,Medium,0-5
2595,30.0,Female,Master's Degree,Senior Project Engineer,5.0,100425.0,Twenties,High,0-5
2596,24.0,Male,Bachelor's Degree,Back end Developer,2.0,63901.0,Twenties,Medium,0-5
2597,45.0,Male,Master's Degree,Senior Software Engineer,22.0,181902.0,Forties,Very High,21-25
2598,33.0,Female,Master's Degree,Full Stack Engineer,9.0,136533.0,Thirties,High,6-10
2599,38.0,Male,Bachelor's Degree,Front end Developer,11.0,136285.0,Thirties,High,11-15
2601,42.0,Male,Master's Degree,Full Stack Engineer,19.0,176643.0,Forties,Very High,16-20
2602,28.0,Female,Bachelor's Degree,Senior Project Engineer,4.0,70022.0,Twenties,Medium,0-5
2603,30.0,Male,Master's Degree,Front end Developer,6.0,99363.0,Twenties,Medium,6-10
2604,43.0,Female,Master's Degree,Senior Software Engineer,19.0,152944.0,Forties,Very High,16-20
2605,35.0,Male,Bachelor's Degree,Back end Developer,10.0,123386.0,Thirties,High,6-10
2606,44.0,Male,Master's Degree,Full Stack Engineer,21.0,168906.0,Forties,Very High,21-25
2608,23.0,Male,High School,Front end Developer,1.0,47898.0,Twenties,Low,0-5
2609,39.0,Female,Master's Degree,Senior Software Engineer,14.0,135853.0,Thirties,High,11-15
2610,43.0,Male,Bachelor's Degree,Full Stack Engineer,17.0,149198.0,Forties,High,16-20
2611,29.0,Male,PhD,Software Engineer Manager,6.0,106662.0,Twenties,High,6-10
2612,51.0,Male,Master's Degree,Senior Software Engineer,28.0,186610.0,Fifties,Very High,21-25
2613,30.0,Female,Bachelor's Degree,Senior Project Engineer,6.0,89995.0,Twenties,Medium,6-10
2614,26.0,Male,Master's Degree,Full Stack Engineer,4.0,85825.0,Twenties,Medium,0-5
2615,39.0,Female,PhD,Software Engineer Manager,13.0,143814.0,Thirties,High,11-15
2616,49.0,Male,Master's Degree,Front end Developer,24.0,174726.0,Forties,Very High,21-25
2617,42.0,Female,Bachelor's Degree,Senior Software Engineer,20.0,150534.0,Forties,Very High,16-20
2618,27.0,Male,Bachelor's Degree,Back end Developer,4.0,68732.0,Twenties,Medium,0-5
2619,43.0,Male,Master's Degree,Full Stack Engineer,21.0,187951.0,Forties,Very High,21-25
2620,37.0,Female,Bachelor's Degree,Senior Project Engineer,13.0,137336.0,Thirties,High,11-15
2621,51.0,Male,PhD,Software Engineer Manager,26.0,191159.0,Fifties,Very High,21-25
2622,29.0,Female,Master's Degree,Full Stack Engineer,5.0,102868.0,Twenties,High,0-5
2623,43.0,Male,Bachelor's Degree,Senior Software Engineer,20.0,154281.0,Forties,Very High,16-20
2624,31.0,Male,Master's Degree,Back end Developer,8.0,111535.0,Thirties,High,6-10
2625,30.0,Female,Master's Degree,Senior Project Engineer,6.0,107906.0,Twenties,High,6-10
2626,36.0,Male,Bachelor's Degree,Full Stack Engineer,13.0,143885.0,Thirties,High,11-15
2627,52.0,Female,PhD,Software Engineer Manager,27.0,180958.0,Fifties,Very High,21-25
2628,28.0,Male,Master's Degree,Senior Software Engineer,6.0,108607.0,Twenties,High,6-10
2629,49.0,Male,Bachelor's Degree,Back end Developer,24.0,178284.0,Forties,Very High,21-25
2630,27.0,Female,Master's Degree,Front end Developer,4.0,75969.0,Twenties,Medium,0-5
2631,41.0,Male,Master's Degree,Senior Project Engineer,15.0,143705.0,Forties,High,11-15
2633,46.0,Male,Bachelor's Degree,Senior Software Engineer,22.0,174324.0,Forties,Very High,21-25
2634,32.0,Female,Master's Degree,Full Stack Engineer,8.0,123781.0,Thirties,High,6-10
2635,38.0,Male,PhD,Software Engineer Manager,12.0,141735.0,Thirties,High,11-15
2636,52.0,Male,Master's Degree,Senior Project Engineer,28.0,187120.0,Fifties,Very High,21-25
2637,24.0,Female,Bachelor's Degree,Back end Developer,1.0,61095.0,Twenties,Medium,0-5
2638,49.0,Male,Master's Degree,Full Stack Engineer,22.0,179045.0,Forties,Very High,21-25
2639,35.0,Female,Master's Degree,Senior Software Engineer,10.0,130355.0,Thirties,High,6-10
2640,31.0,Male,Bachelor's Degree,Front end Developer,7.0,103282.0,Thirties,High,6-10
